age,income,previous_purchases,purchase
37,89274,13,1
65,22469,10,1
42,73947,6,1
39,42534,8,1
30,83620,15,1
36,68874,4,1
66,69708,19,1
53,94553,9,1
29,88344,17,1
58,69138,2,1
36,74302,12,1
29,67638,10,1
26,98249,16,1
24,22719,12,1
45,42890,5,1
31,97236,16,1
48,56509,12,1
69,62534,18,1
36,38787,18,1
64,68845,9,1
33,77932,2,1
22,53062,13,1
52,95713,18,1
29,80461,4,1
42,95418,4,1
69,86672,19,1
38,54832,16,1
53,51966,9,1
40,92545,4,1
33,32987,3,1
56,57311,5,1
62,51575,3,0
59,83852,6,1
56,21007,6,1
31,90981,17,1
48,96242,2,1
22,67517,0,0
52,49257,3,1
40,62207,5,1
46,33281,8,1
60,81246,13,1
28,21435,11,1
35,46660,19,1
64,25084,3,1
29,33507,11,1
26,92595,9,1
27,65539,6,1
61,27491,2,0
34,70192,13,1
55,83888,9,1
24,93609,15,1
63,29077,15,1
30,40953,9,1
57,96919,12,1
59,87889,5,1
26,43821,11,1
67,57567,8,1
44,44860,12,1
19,41195,3,1
22,97475,10,1
46,41427,19,1
54,47083,17,1
55,77372,10,1
36,64064,3,0
25,27813,17,1
65,51598,0,1
62,47082,6,1
18,49241,5,1
39,64569,14,1
69,31745,17,1
34,46029,10,1
24,33025,19,1
42,34288,14,1
62,26540,15,1
21,88878,6,1
53,61846,9,1
23,95932,11,1
48,37482,13,1
36,43411,4,1
61,70975,17,1
56,80545,4,1
44,98797,2,1
27,72307,4,1
43,23093,16,0
36,97258,18,1
56,42042,18,1
20,72930,11,1
62,64413,8,1
30,53756,0,0
67,73268,17,1
45,59214,3,1
37,48602,9,1
45,73331,6,1
25,68901,0,1
58,83416,16,1
56,52196,1,0
18,25626,10,0
20,27424,8,0
30,32857,6,0
45,39982,16,1
66,96961,16,1
42,21980,1,0
50,68290,5,1
55,46431,13,1
23,46385,5,1
61,58158,1,0
62,43019,0,1
49,38639,9,1
62,41563,4,1
64,59341,1,0
38,25776,15,1
33,56444,1,0
38,88916,9,1
28,28711,1,0
54,94318,15,1
53,50707,15,1
52,59110,18,1
36,81788,6,1
37,58827,11,1
35,25655,14,1
64,64859,7,1
58,73625,5,1
66,72098,9,1
31,35251,2,1
32,20526,18,1
48,88760,16,1
18,67837,6,1
20,31536,19,1
33,48541,3,0
40,99083,13,1
28,71027,19,1
29,54531,14,1
27,28712,7,1
49,85455,14,1
33,94744,19,1
25,25109,13,1
55,69268,8,1
29,74615,7,1
41,49759,16,1
45,80112,1,1
25,46589,2,0
45,50015,7,0
53,49009,11,1
43,82046,0,1
25,46143,9,1
67,26154,19,1
45,41804,2,0
45,61688,5,1
54,84288,6,1
58,71195,19,1
53,40581,17,1
44,72648,10,1
34,50087,18,1
26,69930,4,1
50,52981,18,1
37,89298,10,1
30,66167,11,1
45,95304,9,1
65,63408,7,1
46,59499,8,0
30,72269,3,1
63,58559,4,1
52,94319,7,1
23,68787,8,0
35,55488,14,1
68,94441,14,1
22,94663,15,1
64,42431,13,1
42,81681,7,1
19,83483,17,1
27,69153,9,1
47,26368,19,1
67,47424,5,1
62,65004,11,1
22,76985,1,0
50,70069,6,1
18,72326,15,1
35,43398,2,0
49,70861,12,1
64,95897,2,1
66,88577,17,1
28,85641,10,1
38,29078,7,1
43,45003,5,0
42,82768,0,1
39,71047,0,0
44,91626,7,1
66,77660,4,1
30,69786,15,1
50,21925,10,1
51,46015,4,1
58,53320,3,1
52,84881,5,1
18,46289,13,1
38,23389,18,1
65,45683,8,0
23,33629,11,1
45,81550,10,1
34,44826,13,1
22,46630,15,1
48,66163,0,0
22,86435,12,1
55,31653,12,1
20,47961,1,0
40,94137,3,1
54,53662,5,1
54,76446,4,1
27,41288,2,0
27,56877,0,0
36,35313,3,0
34,92715,19,1
38,30326,1,0
31,21560,4,0
26,99148,2,1
63,46745,8,1
18,51890,19,1
68,40022,5,1
62,72579,17,1
30,90316,5,1
21,48380,18,1
18,22356,11,0
66,90326,10,1
57,40049,1,1
49,95717,14,1
51,36082,11,1
45,20661,11,1
48,57412,8,1
25,22920,1,0
56,80315,2,1
43,99561,11,1
51,28946,15,1
20,65500,0,0
67,36309,2,0
29,75230,19,1
18,50027,1,1
61,92541,8,1
22,79321,18,1
47,20956,14,1
47,94131,17,1
34,67908,10,1
65,98339,15,1
64,45963,16,1
40,59443,4,1
32,59063,11,1
54,24703,10,1
38,85128,14,1
31,92099,2,1
19,45849,0,0
28,51860,19,1
68,51585,15,1
56,42015,1,0
55,97539,1,1
51,63585,2,1
55,46958,7,1
67,46017,14,1
51,96707,6,1
35,65350,5,1
47,32201,8,1
32,49426,19,1
44,37778,0,0
68,65241,7,1
51,62229,2,1
69,68364,3,1
55,77056,14,1
50,47490,5,1
41,39975,14,1
32,46723,2,0
47,43279,13,1
59,98301,19,1
68,31561,13,1
34,86061,3,0
22,69153,11,1
46,53142,16,1
21,46916,6,1
27,84324,8,1
34,64965,2,1
27,24648,12,1
34,55133,14,1
37,70677,17,1
41,90135,18,1
22,55046,0,0
51,67064,5,1
23,89350,1,0
19,65893,13,1
30,81272,5,1
60,87649,13,1
60,84674,3,1
65,33760,7,1
28,41927,2,0
68,81367,18,1
64,32588,13,1
40,72233,19,1
33,64738,16,1
48,53397,7,1
28,96367,13,1
33,91260,5,1
25,96619,15,1
21,39816,18,1
57,62240,13,1
21,26276,18,1
42,99530,2,0
20,43499,9,0
49,91635,18,1
20,55946,8,1
44,75204,19,1
46,71886,12,1
49,91652,6,1
67,35563,13,1
68,29847,8,1
36,46155,18,1
38,99671,14,1
22,87278,19,1
35,38309,13,1
45,20619,5,1
59,70108,3,1
39,54707,7,1
38,40337,16,1
23,86504,8,1
18,67614,0,0
22,20281,19,1
58,47420,13,1
29,59030,10,1
43,21058,2,0
63,96260,8,1
51,48404,13,1
66,49856,8,1
31,29200,3,0
43,84178,3,1
62,53997,7,1
44,45611,1,1
26,61235,8,1
43,55057,13,1
64,21239,8,1
39,85661,15,1
64,65272,16,1
47,81212,15,1
60,35398,11,1
65,76503,2,1
34,26638,10,1
43,26570,13,1
53,88785,17,1
18,29110,4,1
25,99141,15,1
66,32115,19,1
52,59062,4,1
69,42911,2,1
32,52556,11,1
64,98131,0,1
39,21969,8,0
31,63753,8,1
43,24470,3,0
45,30225,2,0
40,43196,16,1
31,33669,1,0
41,57380,0,1
19,68320,7,1
62,67414,12,1
43,35577,14,1
31,75409,7,1
68,48625,11,1
24,44089,11,1
20,56487,13,1
64,85838,14,1
40,70138,14,1
63,62823,8,1
60,57208,18,1
64,74061,19,1
62,50659,7,1
35,51890,18,1
55,99134,5,1
